Year,RK,Team,Home GMS,Home Total Attendance,Home AVG Attendance,Home PCT Attendance,Road GMS,Road AVG Attendance,Road PCT Attendance,Overall GMS,Overall AVG Attendance,Overall PCT Attendance
2024,3.0,76ers,41,821.714,20.041,,41,18.395,,82,19.218,
2023,2.0,76ers,41,839.261,20.469,97.5,41,17.91,95.2,82,19.19,96.4
2022,2.0,76ers,41,846.867,20.655,98.4,41,16.589,87.4,82,18.622,93.2
2021,2.0,76ers,36,68.583,3.81,18.1,36,2.693,14.5,72,3.284,16.5
2020,1.0,76ers,35,639.491,20.628,102.4,38,17.706,94.5,73,19.122,98.4
2019,1.0,76ers,41,838.092,20.441,100.6,41,17.895,94.3,82,19.168,97.5
2018,3.0,76ers,41,833.503,20.329,100.0,41,18.012,93.6,82,19.185,96.9
2017,18.0,76ers,41,710.557,17.33,85.3,41,172.09,89.7,82,17.269,87.4
2016,28.0,76ers,41,610.121,14.881,73.2,41,17.491,90.7,82,16.186,81.7
2015,30.0,76ers,41,571.572,13.94,68.6,41,17.665,91.8,82,15.802,79.9
2014,29.0,76ers,41,568.632,13.869,68.2,41,17.441,90.5,82,15.655,79.1
2024,1.0,Bulls,41,845.62,20.624,,41,18.379,,82,19.501,
2023,1.0,Bulls,41,841.632,20.527,98.1,41,18.243,96.8,82,19.385,97.5
2022,1.0," Bulls",41,856.148,20.881,99.8,41,18.198,96.3,82,19.556,98.2
2021,7.0,Bulls,36,13.655,3.413,16.3,36,2.343,12.6,72,2.538,13.3
2020,11.0,Bulls,34,639.352,18.804,89.9,31,17.767,94.3,65,18.31,91.9
2019,2.0,Bulls,41,823.475,20.084,96.0,41,17.822,94.7,82,18.953,95.4
2018,1.0,Bulls,41,851.824,20.776,99.3,41,18.03,94.4,82,19.403,97.0
2017,1.0,Bulls,41,888.882,21.68,103.6,41,18.033,94.0,82,19.856,99.0
2016,1.0,Bulls,41,894.659,21.82,104.3,41,18.156,94.5,82,19.988,99.6
2015,1.0,Bulls,41,875.091,21.343,102.0,41,18.404,95.7,82,19.874,99.0
2014,1.0,Bulls,41,890.37,21.716,103.8,41,17.551,91.1,82,19.634,97.7
2024,20.0,Bucks,42,740.885,17.64,,40,18.664,,82,18.139,
2023,19.0,Bucks,41,718.786,17.531,101.1,41,18.296,96.2,82,17.913,98.5
2022,12.0,Bucks,41,715.581,17.453,100.6,41,17.656,92.9,82,17.555,96.6
2021,14.0,Bucks,36,64.78,2.591,14.9,36,2.644,14.0,72,2.612,14.5
2020,18.0,Bucks,35,549.036,17.71,102.1,38,17.892,94.8,73,17.805,98.1
2019,17.0,Bucks,41,721.692,17.602,101.5,41,18.185,95.9,82,17.893,98.6
2018,24.0,Bucks,41,685.303,16.714,89.3,41,18.38,95.2,82,17.547,92.3
2017,27.0,Bucks,41,648.952,15.828,84.6,41,17.928,92.8,82,16.878,88.8
2016,26.0,Bucks,41,621.808,15.166,81.0,41,17.623,91.4,82,16.394,86.3
2015,27.0,Bucks,41,611.226,14.907,79.6,41,17.18,88.8,82,16.044,84.3
2014,30.0,Bucks,41,552.967,13.487,72.1,41,170.13,87.7,82,15.25,80.0
2024,8.0,Cavaliers,41,793.167,19.345,,41,18.378,,82,18.862,
2023,6.0,Cavaliers,41,777.28,19.432,100.0,41,18.093,96.0,82,18.754,98.0
2022,9.0,Cavaliers,41,758.228,18.493,95.2,41,17.134,90.4,82,17.813,92.8
2021,12.0,Cavaliers,36,91.476,2.95,15.2,36,2.616,13.8,72,2.828,14.7
2020,17.0,Cavaliers,36,623.576,17.816,91.7,29,18.254,94.9,65,18.014,93.1
2019,8.0,Cavaliers,41,793.337,19.349,99.6,41,17.632,92.6,82,18.49,96.1
2018,2.0,Cavaliers,41,843.042,20.562,100.0,41,19.071,99.5,82,19.825,99.8
2017,2.0,Cavaliers,41,843.042,20.562,100.0,41,19.021,98.7,82,19.791,99.4
2016,2.0,Cavaliers,41,843.042,20.562,100.0,41,18.91,98.2,82,19.736,99.1
2015,2.0,Cavaliers,41,843.042,20.562,100.0,41,18.915,98.3,82,19.738,99.2
