team;year;wins;win norm;win%;win% norm;playoffs rd;pos norm;performance score;value;value norm;revenue;rev norm;economic score;all stars;all stars norm;hofers;hofers norm;rings;rings norm;tradition score;attendance;attendance norm;followers rk;followers norm;fan score;success index
HOU;2023;22;30,14;26,8;29,74;0;0;14,95;4,4;57,14;381;49,80;53,47;62;40,52;14;37,84;2;11,76;37,11;16995;87,67;24,00;80,00;85,37;35,77
DAL;2023;38;52,05;46,3;51,39;0;0;25,83;4,5;58,44;429;56,08;57,26;36;23,53;8;21,62;1;5,88;21,38;19158;98,83;17,00;56,67;86,18;40,85
SAS;2023;22;30,14;26,8;29,74;0;0;14,95;3,25;42,21;319;41,70;41,95;77;50,33;12;32,43;5;29,41;44,66;17293;89,21;21,00;70,00;83,45;32,87
HOU;2022;20;27,40;24,4;27,08;0;0;13,60;3,2;45,71;350;45,75;45,73;62;40,52;14;37,84;2;11,76;37,11;16120;83,16;24,00;80,00;82,21;32,45
DAL;2022;52;71,23;63,4;70,37;3;60;65,36;3,3;47,14;364;47,58;47,36;34;22,22;8;21,62;1;5,88;20,47;18415;95,00;17,00;56,67;83,50;57,28
SAS;2022;34;46,58;41,5;46,06;0;0;23,13;2;28,57;306;40,00;34,29;77;50,33;12;32,43;5;29,41;44,66;15965;82,36;21,00;70,00;78,65;34,18
HOU;2021;17;23,29;23,6;26,19;0;0;12,52;2,75;55,00;223;29,15;42,08;62;40,52;14;37,84;2;11,76;37,11;3259;16,81;24,00;80,00;35,77;26,17
DAL;2021;42;57,53;58,3;64,71;1;20;40,92;2,7;54,00;231;30,20;42,10;33;21,57;8;21,62;1;5,88;20,01;3140;16,20;17,00;56,67;28,34;37,92
SAS;2021;33;45,21;45,8;50,83;0;0;24,29;1,98;39,60;205;26,80;33,20;76;49,67;12;32,43;5;29,41;44,20;3111;16,05;21,00;70,00;32,23;29,75
HOU;2020;44;60,27;61,1;67,81;2;40;52,40;2,475;53,80;308;40,26;47,03;62;40,52;14;37,84;2;11,76;37,11;18074;93,24;24,00;80,00;89,27;52,95
DAL;2020;43;58,90;57,3;63,60;1;20;40,86;2,4;52,17;295;38,56;45,37;32;20,92;8;21,62;1;5,88;19,55;19169;98,89;17,00;56,67;86,22;44,62
SAS;2020;32;43,84;45,1;50,06;0;0;23,78;1,8;39,13;255;33,33;36,23;76;49,67;12;32,43;5;29,41;44,20;17951;92,60;21,00;70,00;85,82;35,76
HOU;2019;53;72,60;64,6;71,70;2;40;56,03;2,3;57,50;348;45,49;51,50;60;39,22;14;37,84;2;11,76;36,20;17989;92,80;24,00;80,00;88,96;55,98
DAL;2019;33;45,21;40,2;44,62;0;0;22,43;2,25;56,25;307;40,13;48,19;31;20,26;8;21,62;1;5,88;19,10;19043;98,24;17,00;56,67;85,77;36,16
SAS;2019;48;65,75;58,5;64,93;1;20;42,63;1,625;40,63;285;37,25;38,94;76;49,67;12;32,43;5;29,41;44,20;17844;92,05;21,00;70,00;85,44;45,96
